#chrom	chromStart	chromEnd	name	gieStain
chr4	0	49042		gneg
chr4	49042	69508	101F1	n/a
chr4	69508	108296	102A1	n/a
chr4	108296	110283	102A2	n/a
chr4	110283	134526	102A3	n/a
chr4	134526	173313	102A4	n/a
chr4	173313	175300	102A5	n/a
chr4	175300	195648	102A6	n/a
chr4	195648	208365	102A7	n/a
chr4	208365	224898	102A8	n/a
chr4	224898	275131	102B1	n/a
chr4	275131	277118	102B2	n/a
chr4	277118	319721	102B3	n/a
chr4	319721	321708	102B4	n/a
chr4	321708	361291	102B5	n/a
chr4	361291	385533	102B6	n/a
chr4	385533	413591	102B7	n/a
chr4	413591	441648	102B8	n/a
chr4	441648	495776	102C1	n/a
chr4	495776	497763	102C2	n/a
chr4	497763	510481	102C3	n/a
chr4	510481	542353	102C4	n/a
chr4	542353	574226	102C5	n/a
chr4	574226	598468	102C6	n/a
chr4	598468	648702	102D1	n/a
chr4	648702	650689	102D2	n/a
chr4	650689	663406	102D3	n/a
chr4	663406	706804	102D4	n/a
chr4	706804	734861	102D5	n/a
chr4	734861	766734	102D6	n/a
chr4	766734	816967	102E1	n/a
chr4	816967	818955	102E2	n/a
chr4	818955	850032	102E3	n/a
chr4	850032	852019	102E4	n/a
chr4	852019	886913	102E5	n/a
chr4	886913	888900	102E6	n/a
chr4	888900	897802	102E7	n/a
chr4	897802	940405	102F1	n/a
chr4	940405	942392	102F2	n/a
chr4	942392	958924	102F3	n/a
chr4	958924	990797	102F4	n/a
chr4	990797	1022670	102F5	n/a
chr4	1022670	1043017	102F6	n/a
chr4	1043017	1063365	102F7	n/a
chr4	1063365	1348131		gneg
chrM	0	19524		gneg
chrX	0	103614		gneg
chrX	103614	310130	1A1	n/a
chrX	310130	324179	1A2	n/a
chrX	324179	338228	1A3	n/a
chrX	338228	349643	1A4	n/a
chrX	349643	366380	1A5	n/a
chrX	366380	380429	1A6	n/a
chrX	380429	391844	1A7	n/a
chrX	391844	408582	1A8	n/a
chrX	408582	427954	1B1	n/a
chrX	427954	447326	1B2	n/a
chrX	447326	466698	1B3	n/a
chrX	466698	486070	1B4	n/a
chrX	486070	497485	1B5	n/a
chrX	497485	500942	1B6	n/a
chrX	500942	519765	1B7	n/a
chrX	519765	529779	1B8	n/a
chrX	529779	564266	1B9	n/a
chrX	564266	598753	1B10	n/a
chrX	598753	614384	1B11	n/a
chrX	614384	634705	1B12	n/a
chrX	634705	655027	1B13	n/a
chrX	655027	660483	1B14	n/a
chrX	660483	678152	1C1	n/a
chrX	678152	693419	1C2	n/a
chrX	693419	753951	1C3	n/a
chrX	753951	792523	1C4	n/a
chrX	792523	831096	1C5	n/a
chrX	831096	869668	1D1	n/a
chrX	869668	946794	1D2	n/a
chrX	946794	962725	1D3	n/a
chrX	962725	991047	1D4	n/a
chrX	991047	1077783	1E1	n/a
chrX	1077783	1084105	1E2	n/a
chrX	1084105	1185507	1E3	n/a
chrX	1185507	1231139	1E4	n/a
chrX	1231139	1254809	1E5	n/a
chrX	1254809	1289517	1F1	n/a
chrX	1289517	1320864	1F2	n/a
chrX	1320864	1342241	1F3	n/a
chrX	1342241	1368552	1F4	n/a
chrX	1368552	1399899	2A1	n/a
chrX	1399899	1431951	2A2	n/a
chrX	1431951	1453809	2A3	n/a
chrX	1453809	1475668	2A4	n/a
chrX	1475668	1522853	2B1	n/a
chrX	1522853	1570037	2B2	n/a
chrX	1570037	1617222	2B3	n/a
chrX	1617222	1660981	2B4	n/a
chrX	1660981	1671897	2B5	n/a
chrX	1671897	1682812	2B6	n/a
chrX	1682812	1721893	2B7	n/a
chrX	1721893	1760974	2B8	n/a
chrX	1760974	1800056	2B9	n/a
chrX	1800056	1834459	2B10	n/a
chrX	1834459	1850052	2B11	n/a
chrX	1850052	1860968	2B12	n/a
chrX	1860968	1876561	2B13	n/a
chrX	1876561	1901190	2B14	n/a
chrX	1901190	1918430	2B15	n/a
chrX	1918430	1943059	2B16	n/a
chrX	1943059	1967688	2B17	n/a
chrX	1967688	1972106	2B18	n/a
chrX	1972106	2010027	2C1	n/a
chrX	2010027	2019121	2C2	n/a
chrX	2019121	2021662	2C3	n/a
chrX	2021662	2028579	2C4	n/a
chrX	2028579	2035496	2C5	n/a
chrX	2035496	2038036	2C6	n/a
chrX	2038036	2046042	2C7	n/a
chrX	2046042	2065484	2C8	n/a
chrX	2065484	2071652	2C9	n/a
chrX	2071652	2083108	2C10	n/a
chrX	2083108	2105193	2D1	n/a
chrX	2105193	2127279	2D2	n/a
chrX	2127279	2138734	2D3	n/a
chrX	2138734	2150190	2D4	n/a
chrX	2150190	2161646	2D5	n/a
chrX	2161646	2173102	2D6	n/a
chrX	2173102	2195187	2E1	n/a
chrX	2195187	2217272	2E2	n/a
chrX	2217272	2223441	2E3	n/a
chrX	2223441	2245526	2F1	n/a
