#chromosome	arm	band	iscn_start	iscn_stop	bp_start	bp_stop	stain	density
1	p	ter	0	1	0	1	gneg	
1	q	A1	1	18	2	8840440	gpos	100
1	q	A2	18	25	8840441	12278390	gneg	
1	q	A3	25	41	12278391	20136559	gpos	33
1	q	A4	41	45	20136560	22101102	gneg	
1	q	A5	45	63	22101103	30941543	gpos	100
1	q	B	63	88	30941544	43219933	gneg	
1	q	C1.1	88	111	43219934	54516052	gpos	66
1	q	C1.2	111	114	54516053	55989459	gneg	
1	q	C1.3	114	121	55989460	59427408	gpos	75
1	q	C2	121	133	59427409	65321035	gneg	
1	q	C3	133	152	65321036	74652612	gpos	33
1	q	C4	152	163	74652613	80055103	gneg	
1	q	C5	163	178	80055104	87422137	gpos	33
1	q	D	178	203	87422138	99700527	gneg	
1	q	E1.1	203	209	99700528	102647341	gpos	33
1	q	E1.2	209	211	102647342	103629612	gneg	
1	q	E2.1	211	229	103629613	112470053	gpos	100
1	q	E2.2	229	232	112470054	113943460	gneg	
1	q	E2.3	232	256	113943461	125730715	gpos	100
1	q	E3	256	262	125730716	128677528	gneg	
1	q	E4	262	284	128677529	139482511	gpos	66
1	q	F	284	300	139482512	147340681	gneg	
1	q	G1	300	309	147340682	151760902	gpos	100
1	q	G2	309	311	151760903	152743173	gneg	
1	q	G3	311	320	152743174	157163393	gpos	100
1	q	H1	320	326	157163394	160110207	gneg	
1	q	H2.1	326	334	160110208	164039292	gpos	33
1	q	H2.2	334	337	164039293	165512699	gneg	
1	q	H2.3	337	346	165512700	169932919	gpos	33
1	q	H3	346	358	169932920	175826546	gneg	
1	q	H4	358	370	175826547	181720174	gpos	33
1	q	H5	370	383	181720175	188104936	gneg	
1	q	H6	383	398	188104937	195471971	gpos	33
2	p	ter	0	1	0	1	gneg	
2	q	A1	1	30	2	14080919	gpos	100
2	q	A2	30	35	14080920	16427739	gneg	
2	q	A3	35	62	16427740	29100566	gpos	33
2	q	B	62	103	29100567	48344489	gneg	
2	q	C1.1	103	129	48344490	60547953	gpos	100
2	q	C1.2	129	130	60547954	61017317	gneg	
2	q	C1.3	130	146	61017318	68527140	gpos	100
2	q	C2	146	153	68527141	71812688	gneg	
2	q	C3	153	173	71812689	81199968	gpos	66
2	q	D	173	189	81199969	88709792	gneg	
2	q	E1	189	216	88709793	101382619	gpos	100
2	q	E2	216	224	101382620	105137531	gneg	
2	q	E3	224	241	105137532	113116719	gpos	33
2	q	E4	241	247	113116720	115932902	gneg	
2	q	E5	247	264	115932903	123912090	gpos	66
2	q	F1	264	281	123912091	131891278	gneg	
2	q	F2	281	287	131891279	134707462	gpos	33
2	q	F3	287	301	134707463	141278557	gneg	
2	q	G1	301	313	141278558	146910925	gpos	100
2	q	G2	313	315	146910926	147849653	gneg	
2	q	G3	315	325	147849654	152543293	gpos	100
2	q	H1	325	339	152543294	159114389	gneg	
2	q	H2	339	348	159114390	163338664	gpos	33
2	q	H3	348	370	163338665	173664672	gneg	
2	q	H4	370	388	173664673	182113224	gpos	33
3	p	ter	0	1	0	1	gneg	
3	q	A1	1	38	2	18541182	gpos	100
3	q	A2	38	42	18541183	20492885	gneg	
3	q	A3	42	73	20492886	35618587	gpos	66
3	q	B	73	96	35618588	46840881	gneg	
3	q	C	96	116	46840882	56599399	gpos	100
3	q	D	116	125	56599400	60990731	gneg	
3	q	E1	125	143	60990732	69773397	gpos	33
3	q	E2	143	149	69773398	72700952	gneg	
3	q	E3	149	172	72700953	83923246	gpos	100
3	q	F1	172	191	83923247	93193838	gneg	
3	q	F2.1	191	200	93193839	97585170	gpos	33
3	q	F2.2	200	218	97585171	106367836	gneg	
3	q	F2.3	218	222	106367837	108319539	gpos	33
3	q	F3	222	236	108319540	115150501	gneg	
3	q	G1	236	260	115150502	126860721	gpos	100
3	q	G2	260	264	126860722	128812425	gneg	
3	q	G3	264	284	128812426	138570942	gpos	66
3	q	H1	284	295	138570943	143938126	gneg	
3	q	H2	295	304	143938127	148329459	gpos	33
3	q	H3	304	316	148329460	154184569	gneg	
3	q	H4	316	328	154184570	160039680	gpos	33
4	p	ter	0	1	0	1	gneg	
4	q	A1	1	31	2	14882673	gpos	100
4	q	A2	31	37	14882674	17763191	gneg	
4	q	A3	37	59	17763192	28325088	gpos	100
4	q	A4	59	63	28325089	30245433	gneg	
4	q	A5	63	91	30245434	43687848	gpos	66
4	q	B1	91	108	43687849	51849314	gneg	
4	q	B2	108	115	51849315	55209918	gpos	33
4	q	B3	115	132	55209919	63371384	gneg	
4	q	C1	132	145	63371385	69612505	gpos	33
4	q	C2	145	150	69612506	72012936	gneg	
4	q	C3	150	175	72012937	84015092	gpos	100
4	q	C4	175	187	84015093	89776127	gneg	
4	q	C5	187	203	89776128	97457507	gpos	66
4	q	C6	203	220	97457508	105618973	gneg	
4	q	C7	220	231	105618974	110899922	gpos	66
4	q	D1	231	245	110899923	117621130	gneg	
4	q	D2.1	245	251	117621131	120501647	gpos	33
4	q	D2.2	251	273	120501648	131063544	gneg	
4	q	D2.3	273	279	131063545	133944062	gpos	33
4	q	D3	279	295	133944063	141625442	gneg	
4	q	E1	295	308	141625443	147866563	gpos	100
4	q	E2	308	326	147866564	156508116	gneg	
5	p	ter	0	1	0	1	gneg	
5	q	A1	1	31	2	14895174	gpos	100
5	q	A2	31	34	14895175	16336643	gneg	
5	q	A3	34	53	16336644	25465943	gpos	66
5	q	B1	53	70	25465944	33634265	gneg	
5	q	B2	70	74	33634266	35556223	gpos	33
5	q	B3	74	105	35556224	50451398	gneg	
5	q	C1	105	122	50451399	58619719	gpos	33
5	q	C2	122	127	58619720	61022167	gneg	
5	q	C3.1	127	149	61022168	71592936	gpos	100
5	q	C3.2	149	153	71592937	73514894	gneg	
5	q	C3.3	153	162	73514895	77839300	gpos	66
5	q	D	162	170	77839301	81683216	gneg	
5	q	E1	170	190	81683217	91293006	gpos	100
5	q	E2	190	195	91293007	93695453	gneg	
5	q	E3	195	207	93695454	99461327	gpos	33
5	q	E4	207	212	99461328	101863775	gneg	
5	q	E5	212	224	101863776	107629649	gpos	33
5	q	F	224	260	107629650	124927271	gneg	
5	q	G1.1	260	264	124927272	126849229	gpos	33
5	q	G1.2	264	266	126849230	127810208	gneg	
5	q	G1.3	266	272	127810209	130693145	gpos	33
5	q	G2	272	304	130693146	146068809	gneg	
5	q	G3	304	316	146068810	151834684	gpos	33
6	p	ter	0	1	0	1	gneg	
6	q	A1	1	34	2	16637394	gpos	100
6	q	A2	34	44	16637395	21530745	gneg	
6	q	A3.1	44	56	21530746	27402766	gpos	100
6	q	A3.2	56	58	27402767	28381436	gneg	
6	q	A3.3	58	70	28381437	34253458	gpos	100
6	q	B1	70	85	34253459	41593485	gneg	
6	q	B2.1	85	91	41593486	44529495	gpos	66
6	q	B2.2	91	94	44529496	45997501	gneg	
6	q	B2.3	94	104	45997502	50890852	gpos	66
6	q	B3	104	128	50890853	62634895	gneg	
6	q	C1	128	152	62634896	74378937	gpos	100
6	q	C2	152	157	74378938	76825613	gneg	
6	q	C3	157	176	76825614	86122980	gpos	66
6	q	D1	176	193	86122981	94441677	gneg	
6	q	D2	193	196	94441678	95909683	gpos	33
6	q	D3	196	211	95909684	103249709	gneg	
6	q	E1	211	222	103249710	108632396	gpos	100
6	q	E2	222	224	108632397	109611066	gneg	
6	q	E3	224	239	109611067	116951093	gpos	100
6	q	F1	239	251	116951094	122823114	gneg	
6	q	F2	251	256	122823115	125269790	gpos	33
6	q	F3	256	270	125269791	132120481	gneg	
6	q	G1	270	285	132120482	139460508	gpos	66
6	q	G2	285	292	139460509	142885854	gneg	
6	q	G3	292	306	142885855	149736546	gpos	33
7	p	ter	0	1	0	1	gneg	
7	q	A1	1	30	2	15202939	gpos	100
7	q	A2	30	36	15202940	18243527	gneg	
7	q	A3	36	56	18243528	28378821	gpos	33
7	q	B1	56	68	28378822	34459997	gneg	
7	q	B2	68	74	34459998	37500585	gpos	33
7	q	B3	74	94	37500586	47635878	gneg	
7	q	B4	94	107	47635879	54223819	gpos	33
7	q	B5	107	120	54223820	60811759	gneg	
7	q	C	120	141	60811760	71453817	gpos	100
7	q	D1	141	152	71453818	77028229	gneg	
7	q	D2	152	159	77028230	80575581	gpos	66
7	q	D3	159	178	80575582	90204110	gneg	
7	q	E1	178	197	90204111	99832639	gpos	100
7	q	E2	197	202	99832640	102366462	gneg	
7	q	E3	202	220	102366463	111488226	gpos	33
7	q	F1	220	234	111488227	118582931	gneg	
7	q	F2	234	243	118582932	123143813	gpos	33
7	q	F3	243	271	123143814	137333224	gneg	
7	q	F4	271	278	137333225	140880577	gpos	33
7	q	F5	278	287	140880578	145441459	gneg	
8	p	ter	0	1	0	1	gneg	
8	q	A1.1	1	34	2	15940729	gpos	100
8	q	A1.2	34	36	15940730	16878419	gneg	
8	q	A1.3	36	43	16878420	20160333	gpos	33
8	q	A2	43	63	20160334	29537233	gneg	
8	q	A3	63	72	29537234	33756838	gpos	33
8	q	A4	72	94	33756839	44071427	gneg	
8	q	B1.1	94	103	44071428	48291032	gpos	66
8	q	B1.2	103	107	48291033	50166412	gneg	
8	q	B1.3	107	119	50166413	55792551	gpos	66
8	q	B2	119	127	55792552	59543311	gneg	
8	q	B3.1	127	143	59543312	67044831	gpos	100
8	q	B3.2	143	145	67044832	67982521	gneg	
8	q	B3.3	145	159	67982522	74546350	gpos	100
8	q	C1	159	171	74546351	80172490	gneg	
8	q	C2	171	181	80172491	84860940	gpos	33
8	q	C3	181	192	84860941	90018235	gneg	
8	q	C4	192	195	90018236	91424770	gpos	33
8	q	C5	195	204	91424771	95644374	gneg	
8	q	D1	204	220	95644375	103145894	gpos	100
8	q	D2	220	222	103145895	104083584	gneg	
8	q	D3	222	236	104083585	110647414	gpos	33
8	q	E1	236	264	110647415	123775073	gneg	
8	q	E2	264	276	123775074	129401213	gpos	33
9	p	ter	0	1	0	1	gneg	
9	q	A1	1	31	2	14412120	gpos	100
9	q	A2	31	42	14412121	19526099	gneg	
9	q	A3	42	52	19526100	24175170	gpos	33
9	q	A4	52	82	24175171	38122384	gneg	
9	q	A5.1	82	95	38122385	44166177	gpos	66
9	q	A5.2	95	100	44166178	46490712	gneg	
9	q	A5.3	100	118	46490713	54859040	gpos	66
9	q	B	118	136	54859041	63227369	gneg	
9	q	C	136	150	63227370	69736069	gpos	33
9	q	D	150	167	69736070	77639490	gneg	
9	q	E1	167	178	77639491	82753468	gpos	33
9	q	E2	178	182	82753469	84613097	gneg	
9	q	E3.1	182	196	84613098	91121796	gpos	100
9	q	E3.2	196	197	91121797	91586703	gneg	
9	q	E3.3	197	217	91586704	100884846	gpos	100
9	q	E4	217	219	100884847	101814660	gpos	66
9	q	F1	219	233	101814661	108323360	gneg	
9	q	F2	233	239	108323361	111112803	gpos	33
9	q	F3	239	258	111112804	119946038	gneg	
9	q	F4	258	268	119946039	124595110	gpos	33
10	p	ter	0	1	0	1	gneg	
10	q	A1	1	26	2	12822904	gpos	100
10	q	A2	26	36	12822905	17754791	gneg	
10	q	A3	36	48	17754792	23673055	gpos	33
10	q	A4	48	68	23673056	33536828	gneg	
10	q	B1	68	84	33536829	41427846	gpos	100
10	q	B2	84	98	41427847	48332487	gneg	
10	q	B3	98	114	48332488	56223506	gpos	100
10	q	B4	114	130	56223507	64114524	gneg	
10	q	B5.1	130	138	64114525	68060034	gpos	100
10	q	B5.2	138	139	68060035	68553222	gneg	
10	q	B5.3	139	152	68553223	74964675	gpos	100
10	q	C1	152	181	74964676	89267146	gneg	
10	q	C2	181	195	89267147	96171787	gpos	33
10	q	C3	195	201	96171788	99130919	gneg	
10	q	D1	201	227	99130920	111953824	gpos	100
10	q	D2	227	253	111953825	124776729	gneg	
10	q	D3	253	265	124776730	130694993	gpos	33
11	p	ter	0	1	0	1	gneg	
11	q	A1	1	28	2	13046989	gpos	100
11	q	A2	28	37	13046990	17240664	gneg	
11	q	A3.1	37	47	17240665	21900303	gpos	100
11	q	A3.2	47	55	21900304	25628014	gneg	
11	q	A3.3	55	65	25628015	30287653	gpos	100
11	q	A4	65	78	30287654	36345184	gneg	
11	q	A5	78	93	36345185	43334643	gpos	100
11	q	B1.1	93	103	43334644	47994282	gneg	
11	q	B1.2	103	107	47994283	49858137	gpos	33
11	q	B1.3	107	129	49858138	60109343	gneg	
11	q	B2	129	135	60109344	62905127	gpos	33
11	q	B3	135	152	62905128	70826513	gneg	
11	q	B4	152	159	70826514	74088260	gpos	33
11	q	B5	159	176	74088261	82009647	gneg	
11	q	C	176	194	82009648	90396997	gpos	100
11	q	D	194	220	90396998	102512059	gneg	
11	q	E1	220	237	102512060	110433445	gpos	66
11	q	E2	237	262	110433446	122082543	gneg	
12	p	ter	0	1	0	1	gneg	
12	q	A1.1	1	40	2	17601321	gpos	100
12	q	A1.2	40	48	17601322	21121586	gneg	
12	q	A1.3	48	59	21121587	25961949	gpos	66
12	q	A2	59	72	25961950	31682379	gneg	
12	q	A3	72	89	31682380	39162941	gpos	33
12	q	B1	89	100	39162942	44003304	gneg	
12	q	B2	100	102	44003305	44883370	gpos	33
12	q	B3	102	118	44883371	51923899	gneg	
12	q	C1	118	150	51923900	66004957	gpos	100
12	q	C2	150	162	66004958	71285353	gneg	
12	q	C3	162	184	71285354	80966080	gpos	100
12	q	D1	184	194	80966081	85366411	gneg	
12	q	D2	194	201	85366412	88446642	gpos	33
12	q	D3	201	217	88446643	95487171	gneg	
12	q	E	217	241	95487172	106047964	gpos	100
12	q	F1	241	260	106047965	114408592	gneg	
12	q	F2	260	273	114408593	120129022	gpos	66
13	p	ter	0	1	0	1	gneg	
13	q	A1	1	33	2	16286533	gpos	100
13	q	A2	33	43	16286534	21221846	gneg	
13	q	A3.1	43	60	21221847	29611878	gpos	66
13	q	A3.2	60	67	29611879	33066597	gneg	
13	q	A3.3	67	84	33066598	41456629	gpos	33
13	q	A4	84	90	41456630	44417817	gneg	
13	q	A5	90	107	44417818	52807849	gpos	33
