#chromosome	arm	band	iscn_start	iscn_stop	bp_start	bp_stop	stain	density
1	p	ter	0	1	0	1	gneg	
1	q	A1	1	18	2	8818149	gpos	100
1	q	A2	18	25	8818150	12247430	gneg	
1	q	A3	25	41	12247431	20085785	gpos	33
1	q	A4	41	45	20085786	22045374	gneg	
1	q	A5	45	63	22045375	30863523	gpos	100
1	q	B	63	88	30863524	43110953	gneg	
1	q	C1.1	88	111	43110954	54378589	gpos	66
1	q	C1.2	111	114	54378590	55848280	gneg	
1	q	C1.3	114	121	55848281	59277561	gpos	75
1	q	C2	121	133	59277562	65156327	gneg	
1	q	C3	133	152	65156328	74464374	gpos	33
1	q	C4	152	163	74464375	79853243	gneg	
1	q	C5	163	178	79853244	87201701	gpos	33
1	q	D	178	203	87201702	99449131	gneg	
1	q	E1.1	203	209	99449132	102388515	gpos	33
1	q	E1.2	209	211	102388516	103368309	gneg	
1	q	E2.1	211	229	103368310	112186459	gpos	100
1	q	E2.2	229	232	112186460	113656150	gneg	
1	q	E2.3	232	256	113656151	125413683	gpos	100
1	q	E3	256	262	125413684	128353066	gneg	
1	q	E4	262	284	128353067	139130805	gpos	66
1	q	F	284	300	139130806	146969160	gneg	
1	q	G1	300	309	146969161	151378235	gpos	100
1	q	G2	309	311	151378236	152358029	gneg	
1	q	G3	311	320	152358030	156767104	gpos	100
1	q	H1	320	326	156767105	159706487	gneg	
1	q	H2.1	326	334	159706488	163625665	gpos	33
1	q	H2.2	334	337	163625666	165095356	gneg	
1	q	H2.3	337	346	165095357	169504431	gpos	33
1	q	H3	346	358	169504432	175383197	gneg	
1	q	H4	358	370	175383198	181261964	gpos	33
1	q	H5	370	383	181261965	187630627	gneg	
1	q	H6	383	398	187630628	194979086	gpos	33
2	p	ter	0	1	0	1	gneg	
2	q	A1	1	30	2	14062697	gpos	100
2	q	A2	30	35	14062698	16406480	gneg	
2	q	A3	35	62	16406481	29062908	gpos	33
2	q	B	62	103	29062909	48281928	gneg	
2	q	C1.1	103	129	48281929	60469599	gpos	100
2	q	C1.2	129	130	60469600	60938356	gneg	
2	q	C1.3	130	146	60938357	68438461	gpos	100
2	q	C2	146	153	68438462	71719757	gneg	
2	q	C3	153	173	71719758	81094889	gpos	66
2	q	D	173	189	81094890	88594994	gneg	
2	q	E1	189	216	88594995	101251422	gpos	100
2	q	E2	216	224	101251423	105001475	gneg	
2	q	E3	224	241	105001476	112970336	gpos	33
2	q	E4	241	247	112970337	115782876	gneg	
2	q	E5	247	264	115782877	123751738	gpos	66
2	q	F1	264	281	123751739	131720600	gneg	
2	q	F2	281	287	131720601	134533139	gpos	33
2	q	F3	287	301	134533140	141095732	gneg	
2	q	G1	301	313	141095733	146720811	gpos	100
2	q	G2	313	315	146720812	147658324	gneg	
2	q	G3	315	325	147658325	152345890	gpos	100
2	q	H1	325	339	152345891	158908482	gneg	
2	q	H2	339	348	158908483	163127291	gpos	33
2	q	H3	348	370	163127292	173439936	gneg	
2	q	H4	370	388	173439937	181877555	gpos	33
3	p	ter	0	1	0	1	gneg	
3	q	A1	1	38	2	18543799	gpos	100
3	q	A2	38	42	18543800	20495778	gneg	
3	q	A3	42	73	20495779	35623614	gpos	66
3	q	B	73	96	35623615	46847493	gneg	
3	q	C	96	116	46847494	56607387	gpos	100
3	q	D	116	125	56607388	60999339	gneg	
3	q	E1	125	143	60999340	69783244	gpos	33
3	q	E2	143	149	69783245	72711213	gneg	
3	q	E3	149	172	72711214	83935091	gpos	100
3	q	F1	172	191	83935092	93206991	gneg	
3	q	F2.1	191	200	93206992	97598943	gpos	33
3	q	F2.2	200	218	97598944	106382848	gneg	
3	q	F2.3	218	222	106382849	108334827	gpos	33
3	q	F3	222	236	108334828	115166753	gneg	
3	q	G1	236	260	115166754	126878627	gpos	100
3	q	G2	260	264	126878628	128830605	gneg	
3	q	G3	264	284	128830606	138590500	gpos	66
3	q	H1	284	295	138590501	143958442	gneg	
3	q	H2	295	304	143958443	148350394	gpos	33
3	q	H3	304	316	148350395	154206331	gneg	
3	q	H4	316	328	154206332	160062268	gpos	33
4	p	ter	0	1	0	1	gneg	
4	q	A1	1	31	2	14931129	gpos	100
4	q	A2	31	37	14931130	17821025	gneg	
4	q	A3	37	59	17821026	28417310	gpos	100
4	q	A4	59	63	28417311	30343908	gneg	
4	q	A5	63	91	30343909	43830089	gpos	66
4	q	B1	91	108	43830090	52018128	gneg	
4	q	B2	108	115	52018129	55389673	gpos	33
4	q	B3	115	132	55389674	63577712	gneg	
4	q	C1	132	145	63577713	69839153	gpos	33
4	q	C2	145	150	69839154	72247400	gneg	
4	q	C3	150	175	72247401	84288634	gpos	100
4	q	C4	175	187	84288635	90068426	gneg	
4	q	C5	187	203	90068427	97774815	gpos	66
